时间,区域,出租车数量,公交车数量,气温,风向,风速,雨量,AQI,空气质量
2019-04-01 00:00:00,浦东新区,30587,0,21.2,////,0,0.0,94,良
2019-04-01 03:00:00,浦东新区,49017,0,18.8,156,0.3,0.0,99,良
2019-04-01 06:00:00,浦东新区,53942,96,18.1,101,0.9,0.0,105,轻度污染
2019-04-01 09:00:00,浦东新区,55878,223,21.2,84,5.7,0.0,103,轻度污染
2019-04-01 12:00:00,浦东新区,43004,173,22.4,70,4.9,0.0,43,优
2019-04-01 15:00:00,浦东新区,43651,159,20.6,55,6.1,0.0,52,良
2019-04-01 18:00:00,浦东新区,45308,193,17.4,90,6,0.0,63,良
2019-04-01 21:00:00,浦东新区,58081,144,15.2,80,3.3,0.0,48,优
2019-04-02 00:00:00,浦东新区,57117,9,16.2,105,5.3,0.0,35,优
2019-04-02 03:00:00,浦东新区,51852,0,16.6,118,2.1,0.0,46,优
2019-04-02 06:00:00,浦东新区,56917,84,18.4,146,2.3,0.0,26,优
2019-04-02 09:00:00,浦东新区,56767,213,23.7,174,6.6,0.0,57,良
2019-04-02 12:00:00,浦东新区,45786,45,29.8,182,8.4,0.0,77,良
2019-04-02 15:00:00,浦东新区,48851,94,31.3,173,6.7,0.0,80,良
2019-04-02 18:00:00,浦东新区,51070,178,22.1,316,2.9,0.2,150,轻度污染
2019-04-02 21:00:00,浦东新区,62741,150,20.2,304,5.3,0.6,36,优
2019-04-03 00:00:00,浦东新区,54704,13,16.5,310,3.7,0.0,62,良
2019-04-03 03:00:00,浦东新区,45090,0,14.6,17,2.9,2.6,89,良
2019-04-03 06:00:00,浦东新区,52631,85,13,12,4.6,0.0,83,良
2019-04-03 09:00:00,浦东新区,56893,213,13.3,32,3,0.0,102,轻度污染
2019-04-03 12:00:00,浦东新区,45880,181,12.8,69,5.5,0.0,128,轻度污染
2019-04-03 15:00:00,浦东新区,45135,160,12.5,53,5.1,0.0,118,轻度污染
2019-04-03 18:00:00,浦东新区,48636,188,11.8,86,4.5,0.0,59,良
2019-04-03 21:00:00,浦东新区,57813,141,11.7,83,3.9,0.0,52,良
2019-04-04 00:00:00,浦东新区,63952,13,11.8,98,3.6,0.0,46,优
2019-04-04 03:00:00,浦东新区,54272,0,12.6,105,4.4,0.0,48,优
2019-04-04 06:00:00,浦东新区,52921,71,13,106,4.8,0.0,53,良
2019-04-04 09:00:00,浦东新区,53834,169,13.6,91,2.7,0.1,53,良
2019-04-04 12:00:00,浦东新区,52006,170,16.9,231,2.5,0.0,59,良
2019-04-04 15:00:00,浦东新区,51933,146,17.1,281,3.3,0.0,92,良
2019-04-04 18:00:00,浦东新区,52805,156,15.9,301,4,0.0,119,轻度污染
2019-04-04 21:00:00,浦东新区,57041,106,15.2,56,3.1,0.0,170,中度污染
2019-04-05 00:00:00,浦东新区,60035,12,14.1,52,2.2,0.0,150,轻度污染
2019-04-05 03:00:00,浦东新区,51680,0,13,61,3.1,0.0,108,轻度污染
